titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
Listing visières de protection,recensement des projets de visières,SANTE,PROTECTION,LISTE,VISIERE,ANONYME,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Des cartos pour les makers,liste carto pour les makers,INFOS,HELP,LISTE,CARTO,ASSO,,https://pad.degrowth.net/covid19-carto-makers,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_8.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
COVID19: développeurs/datascientistes - comment aider ?,Des développeurs et datascientistes se mobilisent pour aider dans la lutte contre le COVID19 (Coronavirus.) Cette page vous aide à vous y retrouver.,DATA,HELP/DEV,LISTE,,INDIVIDU,,https://bzg.fr/covid19-developpeurs-datascientistes-comment-aider/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_4.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Ressources COVID,-,INFOS,SCIENCE,LISTE,,ASSO,,https://etherpad.wikimedia.org/p/covid19resources,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_8.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Makers for life,-,SANTE,-,LISTE,DIY,ANONYME,,https://docs.google.com/document/d/16GDm0yiQM85stHgQlaYfPcS1Y6g9GwhGpb4Ofgsrmy8/edit,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Liste matériels DIY,-,SANTE,-,LISTE,DIY,-,,https://lite.framacalc.org/9fl0-8k1n6ifpms,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Makers projects,-,SANTE,-,GROUPE,,-,,"https://www.notion.so/af31d3adfff541a18dd6336e16fd223b?v=1d3b06185a42422f9515011cbad7af12
",,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Discord Makers,-,SANTE,-,GROUPE,,-,,"https://pad.degrowth.net/0BDaA2_PQkeO56ScMHYLjA?view#
",,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
COVID data scraped,-,DATA,HELP/DEV,REPO,,INSTITUTION,,https://github.com/lazd/coronadatascraper,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_4.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Slack covid ?,-,SANTE,-,GROUPE,,-,,"https://app.slack.com/client/TUU48M0T1/C0104ANKV4L/thread/C0104ANKV4L-1584868485.232300
",,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Civic tech Hub,-,SANTE,-,GROUPE,,-,,https://docs.google.com/document/d/e/2PACX-1vS2p8BPJ5d0WcHxRAB0BWCv6fY2lgZPVanfZNqOX4z2e00cOEwPIWhlO5ZNlPb5Fe2Pva_c74leKrR2/pub,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
OMS infos,-,INFOS/DATA/SANTE,SCIENCE,MEDIA,,INSTITUTION,OMS,https://www.who.int/fr/emergencies/diseases/novel-coronavirus-2019/advice-for-public/q-a-coronaviruses,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Best pratices,-,INFOS/DATA/SANTE,SCIENCE,DATA,,NR,,https://safecast.org/2020/03/best-practices-in-reference-to-covid-19,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
World in data - covid19,-,INFOS/DATA/SANTE,SCIENCE,DATA,,-,,https://ourworldindata.org/coronavirus,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Groupe d’entraide international (kit de détection du SARS-CoV-2) https://app.jogl.io/project/118,-,HELP,,GROUPE,,-,,https://app.jogl.io/project/118,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Regroupement des chercheurs : http://crowdfightcovid19.org/,-,HELP,,GROUPE,,-,,http://crowdfightcovid19.org/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Groupe d’entraide Maker sur Facebook Contact @ouam41 sur le discord,-,HELP,,GROUPE,,-,,https://www.facebook.com/groups/1120744844933688,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Groupe entraide maker international (attention  tout n’est pas à prendre),-,HELP,,GROUPE,,-,,https://www.facebook.com/groups/670932227050506/about#_=_,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
#COVID entraide Rhône-Alpes,-,HELP,,GROUPE,,-,,https://pad.degrowth.net/0BDaA2_PQkeO56ScMHYLjA?view,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
